test_id,adr,reason
tests/test_release_script.py::PublicationTests::test_missing_or_wrong_head_workflow_never_passes,A19,github-publication
tests/test_release_script.py::PublicationTests::test_failed_and_empty_job_workflows_fail_closed,A19,github-publication
tests/test_release_script.py::PublicationTests::test_required_pending_and_missing_checks_wait,A19,github-publication
tests/test_release_script.py::PublicationTests::test_required_failure_and_head_change,A19,github-publication
tests/test_release_script.py::PublicationTests::test_tag_must_be_annotated_and_match_package,A19,github-publication
tests/test_release_script.py::PublicationTests::test_public_resume_does_not_inspect_dirty_checkout,A19,github-publication
tests/test_release_script.py::PublicationTests::test_dirty_new_source_refused_before_fetch,A19,github-publication
tests/test_release_script.py::PublicationTests::test_version_pr_updates_and_checks_lock_with_package_version,A19,github-publication
tests/test_release_script.py::PublicationTests::test_new_publication_gates_exact_heads_before_annotated_tag,A19,github-publication
tests/test_release_script.py::PublicationTests::test_assets_require_hash_and_signed_commit_workflow_subject,A19,github-publication
tests/test_release_script.py::PublicationTests::test_cli_uses_shared_exception_identity_and_restores_every_job,A19,github-publication
tests/test_release_script.py::PublicationTests::test_prepare_rejects_python_before_creating_release,A19,python-packaging
tests/test_release_script.py::PublicationTests::test_locked_install_requires_complete_transitive_closure,A19,python-packaging
tests/test_release_script.py::PublicationTests::test_mcp_smoke_keeps_stdin_open_until_tools_reply,A19,release-smoke
tests/test_release_script.py::PublicationTests::test_mcp_smoke_bounds_partial_frames,A19,release-smoke
tests/test_release_script.py::PublicationTests::test_mcp_smoke_rejects_initialization_errors,A19,release-smoke
tests/test_release_script.py::LocalTests::test_live_validation_waits_for_api_then_retries_transient_database_open,A19,release-smoke
tests/test_release_script.py::LocalTests::test_wrong_default_home_plist_fails_before_stopping,A19,launchd-control
tests/test_release_script.py::LocalTests::test_restart_failure_retries_compatible_services,A19,launchd-control
tests/test_release_script.py::LocalTests::test_failed_migration_restores_old_only_when_schema_is_unchanged,A19,deploy-migration
tests/test_release_script.py::LocalTests::test_swap_failure_after_migration_recovers_new_binary,A19,deploy-migration
tests/test_release_script.py::LocalTests::test_recovery_retries_database_open_and_never_selects_old_binary,A19,deploy-migration
tests/test_release_script.py::LocalTests::test_database_readiness_timeout_preserves_journal_without_guessing_schema,A19,deploy-migration
tests/test_codex_queue.py::CodexQueueSenderTests::test_constructor_inputs_and_outputs_are_bounded_without_replacement_paths,A09,legacy-queue-sender
tests/test_codex_queue.py::CodexQueueSenderTests::test_exact_legacy_argv_no_stdin_and_sanitized_environment,A09,legacy-queue-sender
tests/test_codex_queue.py::CodexQueueSenderTests::test_exact_missing_session_result_is_narrowly_classified,A09,legacy-queue-sender
tests/test_codex_queue.py::CodexQueueSenderTests::test_generic_and_io_failures_are_stable_and_do_not_leak_output,A09,legacy-queue-sender
tests/test_codex_queue.py::CodexQueueSenderTests::test_timeout_is_ambiguous_for_sender_and_transport,A09,legacy-queue-sender
tests/test_codex_queue.py::CodexQueueSenderTests::test_zero_exit_without_message_id_is_still_proven_acceptance,A09,legacy-queue-sender
